Variable,Standard Deviation,mean,median,min,max
Accommodates (people),1.93,3.33,3,1,16
Bathrooms,0.55,1.22,1,0,8
Bedrooms,0.82,1.25,1,0,6
Beds,1.13,1.71,1,1,15
Price ($),81.44,120.61,100,25,999
Security Deposit,227.54,264.57,200,95,2500
Cleaning Fee,45.65,57.98,50,5,300
Number Of Reviews,43.65,34.19,19,1,474
Review Scores Rating,4.72,93.53,95,80,99
Review Scores Cleanliness ,0.73,9.51,10,5,10
Review Scores Checkin,0.55,9.78,10,4,10
Review Scores Communication,0.5,9.81,10,4,10
Review Scores Location,0.61,9.57,10,6,10
Review Scores Value,0.66,9.39,9,4,10
