,count,mean,std,min,25%,50%,75%,max
id,3818.0,5550111.41854374,2962660.478560128,3335.0,3258256.25,6118244.5,8035126.75,10340165.0
accommodates,3818.0,3.3493975903614457,1.9775994433685948,1.0,2.0,3.0,4.0,16.0
bathrooms,3802.0,1.2594687006838505,0.5903691064636677,0.0,1.0,1.0,1.0,8.0
bedrooms,3812.0,1.3077124868835257,0.8833949168311118,0.0,1.0,1.0,2.0,7.0
beds,3817.0,1.7353942887084097,1.1394797526995217,1.0,1.0,1.0,2.0,15.0
price,3818.0,127.97616553169199,90.2500221614799,20.0,75.0,100.0,150.0,1000.0
security_deposit,1866.0,287.61039657020365,270.2226901710419,95.0,150.0,250.0,300.0,5000.0
cleaning_fee,2788.0,61.71090387374462,48.83034118758514,5.0,25.0,50.0,83.0,300.0
number_of_reviews,3818.0,22.22341540073337,37.73089228063948,0.0,2.0,9.0,26.0,474.0
review_scores_rating,3171.0,94.53926206244087,6.606083179599051,20.0,93.0,96.0,99.0,100.0
review_scores_cleanliness,3165.0,9.556398104265403,0.7972739066160753,3.0,9.0,10.0,10.0,10.0
review_scores_checkin,3160.0,9.786708860759493,0.5954990437936796,2.0,10.0,10.0,10.0,10.0
review_scores_communication,3167.0,9.809598989580044,0.5682114414300821,2.0,10.0,10.0,10.0,10.0
review_scores_location,3163.0,9.608915586468543,0.6290532278435134,4.0,9.0,10.0,10.0,10.0
review_scores_value,3162.0,9.452245414294751,0.750258640958125,2.0,9.0,10.0,10.0,10.0
